AcceptedName,USDAcode,PropagationDescription.L,Propogation Description 2
Cupressus macrocarpa,HEMA22,NA,Stratified seeds will germinate at 72 degrees. The percent of viable seed is often low.
Sequoia sempervirens,SESE3,"Redwood is easily propagated from cuttings, layering, or from sucker shoots, as well as from seeds although seeds have low germinability.","Redwood is easily propagated from cuttings, layering, or from sucker shoots, as well as from seeds although seeds have low germinability."
Acer macrophyllum,ACMA3,Use fresh seed.,Use fresh seed.
Prunus caroliniana,PRCA,NA,"Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Germination of most seeds requires cold stratification."
Quercus agrifolia,QUAG,NA,NA
Umbellularia californica,UMCA,Bay laurel is easily started from seed sown on light-textured beds soon after harvest. It can also be propagated from cuttings.,Bay laurel is easily started from seed sown on light-textured beds soon after harvest. It can also be propagated from cuttings.
Carpenteria californica,CACA17,Seed germination without treatment is excellent. Sow thinly. Seedling damp off easily. This species may also be increased using suckers or cuttings from young stems.,Seed germination without treatment is excellent. Sow thinly. Seedling damp off easily. This species may also be increased using suckers or cuttings from young stems.
Thalia dealbata,THDE,NA,NA
Bouteloua gracilis,BOGR2,Most easily propagated from seed (1/2-2 lbs. PLS per 1000 sq. ft.).,Most easily propagated from seed (1/2-2 lbs. PLS per 1000 sq. ft.).
Penstemon cobaea,PECO4,Easily raised from seed (blooms second year). Collect seed in summer when capsules are brown and seeds are black.,Easily raised from seed (blooms second year). Collect seed in summer when capsules are brown and seeds are black.
Viola sororia,VISO,NA,NA
Medeola virginiana,MEVI,NA,NA
Panax quinquefolius,PAQU,NA,NA
Woodwardia areolata,WOAR,Propagate by spores or,Propagate by spores or rhizome division.
Actaea rubra,ACRU2,"Propagated by root division in early spring or fall, or by seed sown outside, 1/2"" deep, as soon as ripe. Seeds germinate the following year and flower the third year.","Propagated by root division in early spring or fall, or by seed sown outside, 1/2"" deep, as soon as ripe. Seeds germinate the following year and flower the third year."
Anaphalis margaritacea,ANMA,Increase by division in the spring or sow fresh seeds in the fall.,Increase by division in the spring or sow fresh seeds in the fall.
Arisaema dracontium,ARDR3,"Propagate by tuber division or seed. Divide tubers when the plant dies down in late summer. Seeds may be sown outside in late fall, 3/4 inch deep, or the following spring with or without cold treatment. Seeds should not be allowed to dry out. This species will not flower until the second or third year after germination.","Propagate by tuber division or seed. Divide tubers when the plant dies down in late summer. Seeds may be sown outside in late fall, 3/4 inch deep, or the following spring with or without cold treatment. Seeds should not be allowed to dry out. This species will not flower until the second or third year after germination."
Asarum canadense,ASCA,Summer cuttings and fall root division best. Slow from seed.,Summer cuttings and fall root division best. Slow from seed.
Asclepias incarnata,ASIN,Easy to start from seed. Established plants may be divided in spring.,Easy to start from seed. Established plants may be divided in spring.
Asplenium platyneuron,ASPL,Root division while dormant or spores,Root division while dormant or spores
Symphyotrichum cordifolium,SYCO4,NA,NA
Baptisia bracteata,BABR2,NA,NA
Camassia quamash,CAQU2,Propagate from offsets or seed. Sow seed in a sealable container and refrigerate for 3 months or until germination starts. Germination is often poor. Seedlings take 3-4 years to flower.,Propagate from offsets or seed. Sow seed in a sealable container and refrigerate for 3 months or until germination starts. Germination is often poor. Seedlings take 3-4 years to flower.
Chelone glabra,CHGL2,Plant seeds outside in fall or moist-chill and plant in spring. Seedlings germinate after one year and flower after two. Roots can be divided in early spring or late fall with the plant is dormant. Space divisions 18 in. apart. Make,Plant seeds outside in fall or moist-chill and plant in spring. Seedlings germinate after one year and flower after two. Roots can be divided in early spring or late fall with the plant is dormant. Space divisions 18 in. apart. Make stem cuttings in
Chimaphila maculata,CHMA3,NA,NA
Claytonia virginica,CLVI3,Propagate using corms or seeds. Seeds should be sown as soon as they ripen.,Propagate using corms or seeds. Seeds should be sown as soon as they ripen.
Delphinium tricorne,DETR,Propagate by seed or division.,Propagate by seed or division.
Dryopteris clintoniana,DRCL,NA,NA
Echinacea angustifolia,ECAN2,NA,NA
Epigaea repens,EPRE2,NA,NA
Filipendula rubra,FIRU2,"Best propagated by rootstock division in early spring or fall. To propagate from seed, scratch cleaned seed into the soil in fall or store over winter, stratify and plant in spring.","Best propagated by rootstock division in early spring or fall. To propagate from seed, scratch cleaned seed into the soil in fall or store over winter, stratify and plant in spring. Stem cuttings can be made in mid-spring before the flowers appear."
Geranium maculatum,GEMA,Seeds may be sown outside in late fall or the following spring without any cold treatment. The species may also be propagated by,"Seeds may be sown outside in late fall or the following spring without any cold treatment. The species may also be propagated by rhizome division in either fall or early spring. The rhizomes often form right angles, simplifying division."
Geum rivale,GERI2,Will grow from seed.,Will grow from seed.
Enemion biternatum,ENBI,NA,NA
Linnaea borealis,LIBO3,"Seeds, though hard to collect and slow to germinate, may be sown outside in late fall or the following spring without any cold treatment. An easier method of propagation is","Seeds, though hard to collect and slow to germinate, may be sown outside in late fall or the following spring without any cold treatment. An easier method of propagation is stem cuttings taken in late spring or by layering plant."
Oenothera speciosa,OESP2,"Propagate by seed in fall. After distributing seed evenly, rake into loosened topsoil to ensure good seed/soil contact.","Propagate by seed in fall. After distributing seed evenly, rake into loosened topsoil to ensure good seed/soil contact."
Sarracenia flava,SAFL4,NA,NA
Sarracenia minor,SAMI9,NA,NA
Scirpus atrovirens,SCAT2,NA,NA
Silene stellata,SIST,"Propagate by seed or cuttings. Seeds can be sown outdoors immediately after collection or stored, pretreated and sown later. Divide mature plants in late fall or early spring by removing outer rosettes.","Propagate by seed or cuttings. Seeds can be sown outdoors immediately after collection or stored, pretreated and sown later. Divide mature plants in late fall or early spring by removing outer rosettes."
Maianthemum racemosum,MARA7,NA,NA
Symplocarpus foetidus,SYFO,"Sow seeds upon collection in a peaty soil kept constantly moist. Seedlings require considerable time to mature. To increase by division, dig around the dormant plant and remove it with as much of the deep-penetrating, offensive-smelling","Sow seeds upon collection in a peaty soil kept constantly moist. Seedlings require considerable time to mature. To increase by division, dig around the dormant plant and remove it with as much of the deep-penetrating, offensive-smelling rhizome as possi"
Spiranthes cernua,SPCE,NA,NA
Thalictrum dioicum,THDI,Plant seeds outside in the fall. Seedlings will germinate in one year; flower in two or three.,Plant seeds outside in the fall. Seedlings will germinate in one year; flower in two or three.
Trillium undulatum,TRUN,NA,Rhizome division or seed. Seeds do best when planted outdoors soon after fruits have ripened. Divide rhizomes in fall.
Veratrum viride,VEVI,NA,NA
Vernonia gigantea,VEGI,NA,NA
Waldsteinia fragarioides,WAFR,NA,NA
Zizia aurea,ZIAU,Plant stratified seed in fall. Seeds germinate best in cool soil. Plants can also be divided.,Plant stratified seed in fall. Seeds germinate best in cool soil. Plants can also be divided.
